Quarter,Calendar Period,Dark Stores,Net New Stores,NOV (cr),YoY growth %,QoQ growth %,Adjusted EBITDA (cr),EBITDA % NOV,Notes
Q2 FY23,Jul-Sep 2022,383,,,,,,,
Q4 FY24,Jan-Mar 2024,526,143,3336,83,,-37,-1.1,
Q1 FY25,Apr-Jun 2024,639,113,4061,116,,-3,-0.1,
Q2 FY25,Jul-Sep 2024,791,152,4928,107,,-8,-0.2,
Q3 FY25,Oct-Dec 2024,1007,216,6020,107,,-103,-1.7,
Q4 FY25,Jan-Mar 2025,1301,294,7362,121,,-178,-2.4,-2.4% EBITDA margin reported in Q1 FY26 letter
Q1 FY26,Apr-Jun 2025,1544,243,9203,127,,-162,-1.8,On track for 2000 stores by Dec 2025
Q2 FY26,Jul-Sep 2025,1816,272,11688,137,27,-156,-1.3,NOV derived from QoQ growth; margin improvement slower due to deliberate market share investment
Q3 FY26,Oct-Dec 2025,2027,211,13324,121,14,4,0,NOV derived from QoQ growth; missed 2100-store guidance by ~70 stores; cited GST changes and seasonality
Q4 FY26,Jan-Mar 2026,2243,216,14386,95.4,8.2,37,0.3,
Q1 FY27,Apr-Jun 2026,2443,200,17132,86,19,102,0.6,5th consecutive quarter of Adjusted EBITDA improvement
